admin0Name,admin1Name,admin2Name,Shape_Area,AREA,BIO_2014,BIO_2015,BIO_2016,BIO_2017,BIO_2018
Burkina Faso,Est,Kompienga,0.575385,6983.34,8542878.696,7947168.268,8857508.591,9547024.407,8823862.24
Burkina Faso,Est,Gourma,0.928304,10981.23125,10495580.353,9894118.546,11314903.961,11684718.485,10058043.619
Burkina Faso,Est,Tapoa,1.229156,14891.3425,15760074.408,15043244.412,16262134.841,17413521.781,16720983.806
Burkina Faso,Est,Komonjdjari,0.425024,5088.588437,4003675.301,3949719.978,4350851.212,4177251.985,3578603.737
Burkina Faso,Nord,Passore,0.331564,4070.924375,3817805.73,4158237.749,3785059.135,3430392.8,3742390.913
Burkina Faso,Nord,Zondoma,0.165259,1868.463125,1697807.63,1910296.818,1563228.175,1573144.158,1649645.143
Burkina Faso,Est,Gnagna,0.710453,8490.123125,4134048.515,4556290.018,5202944.702,4661104.811,4112826.751
Burkina Faso,Sahel,Yagha,0.54417,6489.309375,2369235.937,2667581.702,2755778.072,3001042.868,2951835.354
Burkina Faso,Nord,Yatenga,0.564984,6807.1125,3650982.666,4467185.862,3829584.61,3586424.757,3958502.509
Mali,Mopti,Bankass,0.525715,6217.776875,4023202.006,5149275.118,4097126.947,4137864.91,4443407.641
Burkina Faso,Nord,Loroum,0.307837,3699.84375,1327856.357,1626848.145,1241170.374,1307816.824,1409576.619
Mali,Mopti,Djenne,0.375264,4495.46875,2536267.615,3579365.061,3097840.426,2246521.062,2561126.285
Burkina Faso,Sahel,Seno,0.585411,7008.368125,1897925.586,2497471.125,2191128.797,2358724.251,2275446.782
Mali,Mopti,Koro,0.893074,10633.3725,3954835.568,5123183.732,3999735.77,3733688.789,4103339.354
Burkina Faso,Sahel,Soum,1.057471,12630.2125,3247021.997,3312007.141,2930202.414,2934840.708,3195111.429
Mali,Mopti,Bandiagara,0.664886,7967.27625,3224633.898,4383350.128,4125590.349,3221538.052,3500279.016
Burkina Faso,Sahel,Oudalan,0.839772,10062.266875,1740639.464,2236702.488,1525920.543,1584039.825,2067325.316
Mali,Mopti,Tenenkou,0.981994,11468.63125,5463392.729,7551686.271,7123152.875,4895184.809,5759947.3
Mali,Mopti,Mopti,0.611429,7242.456875,3317080.23,4658374.247,4148183.819,2820563.538,2949172.02
Mali,Mopti,Youwarou,0.671116,8009.15,1793723.415,2919550.442,2586925.43,1947662.009,2105654.13
Mali,Mopti,Douentza,1.954619,23223.365,4484375.599,7170001.858,6284136.051,4735975.264,5361482.092
Mali,Tombouctou,Niafunke,0.743165,8785.14,556835.154,1129909.528,910556.336,740667.643,598520.82
Mali,Tombouctou,Dire,0.209214,2405.831875,205277.905,290176.827,226035.104,225652.523,156058.142
Mali,Gao,Ansongo,1.967352,23037.4025,1463901.96,2141032.689,1485271.924,1089609.75,2318697.936
Mali,Tombouctou,Gourma-Rharous,3.582844,42475.46,3066075.283,6238900.009,3231535.4,2933768.622,4132262.791
Mali,Gao,Gao,2.936923,34429.1475,1242180.636,2538933.109,1513647.596,1629593.028,2684907.803
Mali,Gao,Menaka,6.532996,76744.76,1377932.295,2889582.274,1433246.657,2104010.969,2698768.561
Mali,Gao,Bourem,3.631294,42654.755,88819.715,196015.604,110622.952,119433.607,157983.244
Mali,Tombouctou,Goundam,9.776262,114453.15,740315.887,1995578.736,1645479.34,967705.158,1994299.595
Mali,Tombouctou,Tombouctou,28.816037,331467.92,211375.007,440466.295,217636.459,202268.975,390735.449
Niger,Tillaberi,Abala,1.041331,12213.74,570961.885,783007.918,727945.33,1059033.925,666584.321
Niger,Tahoua,Abalak,1.176108,13646.095,2118340.42,1134879.418,1121253.388,1370859.743,1418218.012
Niger,Tillaberi,Ayerou,0.255135,3049.646875,178541.959,297952.878,282355.046,252055.111,265139.699
Niger,Tahoua,Bagaroua,0.256557,2990.325313,263864.035,273531.922,242683.264,204739.82,190613.537
Niger,Tillaberi,Balleyara,0.116923,1284.467266,206353.152,327249.215,222872.659,263340.15,236721.26
Niger,Tillaberi,Banibangou,0.542171,6549.830625,209870.279,246065.828,349213.961,545590.297,302430.996
Niger,Tillaberi,Bankilare,0.120116,1314.296406,218107.497,353648.386,283818.396,385924.229,381778.949
Niger,Tahoua,Birni N'Konni,0.264792,3225.355938,798491.238,1003410.247,889327.937,642159.856,875218.172
Niger,Tahoua,Bouza,0.303403,3526.383438,1160927.513,1237607.098,1169314.634,1024928.044,1096674.989
Niger,Tillaberi,Filingue,0.876754,10499.86875,949696.002,1642324.279,977955.194,1080090.086,1067067.389
Niger,Tillaberi,Gothaye,0.342126,3949.414688,732993.29,899206.023,819997.808,988407.915,1021368.011
Niger,Tahoua,Illela,0.302146,3575.935,738521.713,848526.686,828826.413,687882.119,817941.612
Niger,Tahoua,Keita,0.301168,3666.314688,814605.702,799815.35,736871.085,753832.884,729014.583
Niger,Tillaberi,Kollo,0.760639,8915.9375,1921978.361,2285835.26,1912170.909,2349463.768,2043988.91
Niger,Tahoua,Madaoua,0.37633,4586.80875,1322427.74,1512498.754,1486165.821,1603016.633,1659693.179
Niger,Tahoua,Malbaza,0.121863,1548.040156,557498.795,676359.498,624098.165,559198.891,664319.174
Niger,Tillaberi,Ouallam,1.211545,14603.85,962391.302,1417486.669,1158132.649,1663533.318,1227538.468
Niger,Tillaberi,Say,0.532037,6612.579375,4971138.977,4628443.72,5203655.619,5249469.145,5127557.709
Niger,Tahoua,Tahoua,0.974351,11462.7225,1041858.271,956814.767,896436.995,1106560.409,800483.524
Niger,Tahoua,Tassara,2.498674,29647.7125,148847.528,462992.538,170373.362,328416.582,397933.924
Niger,Tahoua,Tchintabaraden,0.926053,11074.78125,738445.543,682564.318,479482.709,688283.737,725568.51
Niger,Tillaberi,Tera,0.784845,9619.6575,1667639.405,2300031.855,2002669.147,2438273.275,2451600.566
Niger,Tillaberi,Tillaberi,0.4304,5345.1725,557109.393,714334.62,631019.892,822929.844,755115.269
Niger,Tahoua,Tillia,1.487823,17873.395,1247741.711,1238457.335,633960.181,1254584.524,1196345.67
Niger,Tillaberi,Torodi,0.57259,7148.266875,2937267.548,2715428.325,2989018.67,3134820.844,2832591.761
Niger,Tahoua,Ville de Tahoua,0.063368,807.133516,125043.139,95941.082,76428.281,104367.715,87334.798
